,CV R² Mean,CV R² Std,CV MAE Mean,CV MAE Std,CV RMSE Mean,CV RMSE Std,CV Time (s),Test MAE,Test MSE,Test RMSE,Test MAPE,Test R²,Fit Time Full Train (s)
XGBoost,0.37438602319864256,0.009353037605602238,0.7156975987480348,0.012726285242114182,1.2414417429149602,0.02010891749869149,4.6649,0.7173973336658895,1.578816265613888,1.2565095565151456,10.561665153685611,0.3637171838119122,0.6649
Ridge Regression,0.22685577793319264,0.007791747896249231,0.8437893759614736,0.008399299925352386,1.380189687257633,0.024464439097101286,3.1447,0.8526227232534379,1.9678997605689992,1.402818505926194,12.454310334853322,0.20691164076407642,0.3253
Linear Regression,0.22681550999084416,0.007803006696724698,0.8437830428281543,0.008404573495943146,1.3802257769758484,0.024472105686945737,9.6081,0.8526575683472775,1.968168096427605,1.4029141443536752,12.45446273230773,0.2068034980374549,0.4401
Lasso Regression,0.12262285398841719,0.006880401327687853,0.9361984416232474,0.009270383224387146,1.4701783397499097,0.02234847019235072,1.7964,0.9386430710374939,2.18672139160546,1.478756704669656,13.44050784702245,0.11872377073056584,0.4054
